UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
5102,M19961,M,304.1,313.4,1518,42.4,105,0,No Failure
5103,M19962,M,304.1,313.5,1587,33.6,108,0,No Failure
5104,L52283,L,304.1,313.4,1399,43.7,111,0,No Failure
5105,L52284,L,304.1,313.5,1469,44.6,113,0,No Failure
5106,L52285,L,304.1,313.4,1374,56.6,115,0,No Failure
5107,L52286,L,304,313.3,1519,36.7,117,0,No Failure
5108,L52287,L,303.9,313.2,1540,44.4,119,0,No Failure
5109,L52288,L,303.9,313.3,1394,51.6,121,0,No Failure
5110,M19969,M,304,313.4,1389,45.8,123,0,No Failure
5111,M19970,M,304,313.5,1732,26.2,126,0,No Failure
5112,L52291,L,304.1,313.6,1556,37.4,129,0,No Failure
5113,M19972,M,304.1,313.6,1441,43.7,131,0,No Failure
5114,L52293,L,304.1,313.6,1382,46.7,134,0,No Failure
5115,M19974,M,304.2,313.8,1481,44.9,136,0,No Failure
5116,M19975,M,304.2,313.7,2113,18.4,139,0,No Failure
5117,L52296,L,304.2,313.8,1401,53.9,142,0,No Failure
5118,L52297,L,304.1,313.6,1611,31.4,144,0,No Failure
5119,M19978,M,304.2,313.6,1512,33.4,146,0,No Failure
5120,L52299,L,304.2,313.6,1411,46,149,0,No Failure
5121,M19980,M,304.2,313.6,1424,43.7,151,0,No Failure
5122,L52301,L,304.2,313.6,1469,40,154,0,No Failure
5123,H34536,H,304.2,313.5,1684,29.8,156,0,No Failure
5124,M19983,M,304.2,313.5,1532,41.3,161,0,No Failure
5125,M19984,M,304.2,313.5,1557,37.3,164,0,No Failure
5126,M19985,M,304.3,313.5,1416,48.1,167,0,No Failure
5127,L52306,L,304.3,313.5,1802,25.4,170,0,No Failure
5128,M19987,M,304.3,313.5,2245,15.1,172,0,No Failure
5129,L52308,L,304.2,313.4,1434,42.5,175,0,No Failure
5130,M19989,M,304.1,313.3,1725,28.3,177,0,No Failure
5131,L52310,L,304.2,313.3,1668,35.7,180,0,No Failure
5132,L52311,L,304.1,313.3,1452,43.9,182,0,No Failure
5133,L52312,L,304.1,313.3,1415,50,184,0,No Failure
5134,L52313,L,304.1,313.2,1824,25.8,186,0,No Failure
5135,L52314,L,304.1,313.3,1438,45.5,188,0,No Failure
5136,L52315,L,304.1,313.3,1883,24.5,190,0,No Failure
5137,L52316,L,304.2,313.4,1735,28.9,192,0,No Failure
5138,L52317,L,304.3,313.5,1464,36.7,194,0,No Failure
5139,M19998,M,304.3,313.6,1489,40.3,196,0,No Failure
5140,M19999,M,304.4,313.6,1510,38.9,199,0,No Failure
5141,M20000,M,304.3,313.6,1585,32.1,202,0,No Failure
5142,L52321,L,304.4,313.7,1509,35,205,1,Tool Wear Failure
5143,L52322,L,304.4,313.6,1568,39.1,0,0,No Failure
5144,M20003,M,304.3,313.5,1525,42,2,0,No Failure
5145,L52324,L,304.4,313.7,1607,33.5,5,0,No Failure
5146,L52325,L,304.5,313.7,1670,32.9,7,0,No Failure
5147,L52326,L,304.4,313.6,1585,38.9,9,0,No Failure
5148,L52327,L,304.4,313.6,1569,38.4,11,0,No Failure
5149,L52328,L,304.4,313.6,1507,43.1,13,0,No Failure
5150,L52329,L,304.3,313.5,1452,41.5,15,0,No Failure
5151,L52330,L,304.3,313.5,1590,29.8,17,0,No Failure
5152,L52331,L,304.3,313.6,1409,56,19,0,No Failure
5153,L52332,L,304.3,313.5,2643,12.7,21,0,No Failure
5154,L52333,L,304.2,313.4,1644,31.7,23,0,No Failure
5155,L52334,L,304.2,313.4,1568,37.6,25,0,No Failure
5156,H34569,H,304.2,313.3,1625,37.3,27,0,No Failure
5157,L52336,L,304.2,313.4,1482,41.4,32,0,No Failure
5158,H34571,H,304.1,313.3,1397,49.6,34,0,No Failure
5159,L52338,L,304.1,313.3,1459,50.3,39,0,No Failure
5160,L52339,L,304.2,313.4,1490,44,41,0,No Failure
5161,L52340,L,304.1,313.2,1434,50.1,43,0,No Failure
5162,M20021,M,304.1,313.2,2028,18.9,45,0,No Failure
5163,L52342,L,304.2,313.3,1464,45.9,48,0,No Failure
5164,M20023,M,304.2,313.4,1713,23.5,50,0,No Failure
5165,M20024,M,304.3,313.4,1624,32.1,53,0,No Failure
5166,L52345,L,304.2,313.4,1421,43.4,56,0,No Failure
5167,H34580,H,304.2,313.5,1546,41.4,58,0,No Failure
5168,L52347,L,304.2,313.4,1639,32.7,63,0,No Failure
5169,H34582,H,304.1,313.4,1696,29.6,65,0,No Failure
5170,L52349,L,304.1,313.3,1470,39.9,70,0,No Failure
5171,M20030,M,304.1,313.3,1480,38.4,72,0,No Failure
5172,M20031,M,304.2,313.4,1329,54.5,75,0,No Failure
5173,L52352,L,304.2,313.4,1740,28.2,78,0,No Failure
5174,M20033,M,304.2,313.5,1739,28.1,80,0,No Failure
5175,M20034,M,304.2,313.5,1390,47.8,83,0,No Failure
5176,L52355,L,304.2,313.4,1740,23.7,86,0,No Failure
5177,M20036,M,304,313.3,1844,27.1,88,0,No Failure
5178,H34591,H,304,313.1,1388,53.2,91,0,No Failure
5179,H34592,H,304,313.2,1517,43.1,96,0,No Failure
5180,M20039,M,304,313.1,1450,42.8,101,0,No Failure
5181,L52360,L,304,313.2,1584,38.7,104,0,No Failure
5182,L52361,L,304,313.1,1720,28.7,106,0,No Failure
5183,L52362,L,303.9,313.1,1586,31.9,108,0,No Failure
5184,M20043,M,303.9,313,1901,22.5,110,0,No Failure
5185,L52364,L,304,313,1397,42.4,113,0,No Failure
5186,L52365,L,304,313,2012,21.1,115,0,No Failure
5187,L52366,L,304,313,2354,15,117,0,No Failure
5188,L52367,L,304,313.1,1648,35.7,119,0,No Failure
5189,L52368,L,304,313.2,1632,30.6,121,0,No Failure
5190,M20049,M,304.1,313.2,1427,46.9,123,0,No Failure
5191,L52370,L,304.1,313.2,1452,48,126,0,No Failure
5192,L52371,L,304,313.2,1416,46,128,0,No Failure
5193,L52372,L,303.9,313.1,1310,62.9,130,0,No Failure
5194,H34607,H,304,313.1,1408,39.8,132,0,No Failure
5195,M20054,M,303.9,313.1,1668,34.4,137,0,No Failure
5196,L52375,L,303.9,313,1551,36.8,140,0,No Failure
5197,H34610,H,303.9,313,1517,36,142,0,No Failure
5198,H34611,H,303.8,312.9,1570,35.8,147,0,No Failure
5199,L52378,L,303.8,312.8,1428,53.3,152,0,No Failure
5200,L52379,L,303.8,312.8,1503,40,154,0,No Failure
5201,L52380,L,303.8,312.8,1416,58.7,156,0,No Failure
5202,M20061,M,303.7,312.7,1396,47.3,158,0,No Failure
5203,L52382,L,303.7,312.7,1335,51.1,161,0,No Failure
5204,M20063,M,303.7,312.6,1671,30.5,163,0,No Failure
5205,L52384,L,303.7,312.7,1989,22.4,166,0,No Failure
5206,L52385,L,303.7,312.7,1468,43.3,168,0,No Failure
5207,H34620,H,303.7,312.6,1711,27.6,170,0,No Failure
5208,M20067,M,303.8,312.7,1488,41.3,175,0,No Failure
5209,L52388,L,303.8,312.7,1664,29.3,178,0,No Failure
5210,M20069,M,303.8,312.7,1507,38.5,180,0,No Failure
5211,L52390,L,303.7,312.6,1466,42.5,183,0,No Failure
5212,L52391,L,303.7,312.5,1433,53.6,185,0,No Failure
5213,L52392,L,303.7,312.5,1397,45.7,187,0,No Failure
5214,M20073,M,303.7,312.6,1429,43.3,189,0,No Failure
5215,L52394,L,303.7,312.7,1572,37.2,192,0,No Failure
5216,M20075,M,303.7,312.7,1532,42.7,194,0,No Failure
5217,M20076,M,303.7,312.7,1316,51.8,197,0,No Failure
5218,M20077,M,303.8,312.8,1420,47.9,200,0,No Failure
5219,L52398,L,303.8,312.9,1589,37.2,203,0,No Failure
5220,L52399,L,303.8,313,1365,59.9,205,1,Overstrain Failure
5221,L52400,L,303.8,313,1633,32.9,207,0,No Failure
5222,L52401,L,303.9,313,1626,31.4,209,0,No Failure
5223,L52402,L,303.9,313.1,1665,29.6,0,0,No Failure
5224,M20083,M,303.9,313.2,1350,47.2,2,0,No Failure
5225,L52404,L,303.9,313.2,1590,31.9,5,0,No Failure
5226,M20085,M,304,313.2,1437,53.9,7,0,No Failure
5227,L52406,L,303.9,313,1403,48.3,10,0,No Failure
5228,L52407,L,303.9,313.1,1440,41.1,12,0,No Failure
5229,M20088,M,303.9,313.1,1343,61.4,14,0,No Failure
5230,H34643,H,303.9,313.1,1790,26.7,17,0,No Failure
5231,M20090,M,303.8,313.1,2117,18.6,22,0,No Failure
5232,L52411,L,303.8,313.1,1458,42.2,25,0,No Failure
5233,L52412,L,303.6,312.9,1381,57.8,27,0,No Failure
5234,L52413,L,303.6,312.9,1450,45.3,29,0,No Failure
5235,L52414,L,303.7,312.9,1461,50.1,31,0,No Failure
5236,M20095,M,303.7,312.9,1511,41,33,0,No Failure
5237,L52416,L,303.8,313.1,1394,45.4,36,0,No Failure
5238,L52417,L,303.8,313,1499,42.3,38,0,No Failure
5239,L52418,L,303.7,313,1457,44.1,40,0,No Failure
5240,L52419,L,303.7,313,1753,29,42,0,No Failure
5241,L52420,L,303.7,313,1694,28,44,0,No Failure
5242,L52421,L,303.7,313.1,1683,28.4,46,0,No Failure
5243,L52422,L,303.7,313.1,1496,47.4,48,0,No Failure
5244,L52423,L,303.7,313.1,1721,34.8,50,0,No Failure
5245,L52424,L,303.6,313,1593,31.6,52,0,No Failure
5246,L52425,L,303.6,313,1575,38.3,54,0,No Failure
5247,L52426,L,303.5,313,1465,41,56,0,No Failure
5248,L52427,L,303.6,313.1,1405,38.3,58,0,No Failure
5249,M20108,M,303.5,313,1902,21.6,60,0,No Failure
5250,M20109,M,303.4,312.9,1422,39.9,63,0,No Failure
5251,L52430,L,303.5,312.9,1332,52.9,66,0,No Failure
5252,M20111,M,303.4,312.9,1307,54.3,68,0,No Failure
5253,L52432,L,303.5,313,1322,59.5,71,0,No Failure
5254,L52433,L,303.5,313,1547,40.3,73,0,No Failure
5255,L52434,L,303.5,313.1,1897,23.6,75,0,No Failure
5256,M20115,M,303.5,313,1403,51.9,77,0,No Failure
5257,L52436,L,303.5,313,1393,51.6,80,0,No Failure
5258,L52437,L,303.5,313,1482,38.5,82,0,No Failure
5259,M20118,M,303.5,312.9,1572,44.7,84,0,No Failure
5260,L52439,L,303.5,312.9,1544,36.9,87,0,No Failure
5261,M20120,M,303.5,313,1492,46.1,89,0,No Failure
5262,L52441,L,303.4,312.8,1513,35.8,92,0,No Failure
5263,L52442,L,303.4,312.8,1449,43.9,94,0,No Failure
5264,L52443,L,303.5,312.8,1877,22.3,96,0,No Failure
5265,L52444,L,303.4,312.8,1376,53.4,98,0,No Failure
5266,M20125,M,303.5,312.9,1883,23.3,100,0,No Failure
5267,M20126,M,303.4,312.8,1518,38.7,103,0,No Failure
5268,M20127,M,303.5,312.9,1438,42.8,106,0,No Failure
5269,L52448,L,303.4,312.9,1389,54.1,109,0,No Failure
5270,L52449,L,303.5,312.9,1504,44.8,111,0,No Failure
5271,L52450,L,303.5,312.9,1275,64.4,113,0,No Failure
5272,L52451,L,303.6,313,1534,39.7,115,0,No Failure
5273,M20132,M,303.6,313,1396,38.2,117,0,No Failure
5274,L52453,L,303.6,313.1,1395,44.1,120,0,No Failure
5275,L52454,L,303.6,313,1617,30.9,122,0,No Failure
5276,L52455,L,303.7,313.1,1423,41.2,124,0,No Failure
5277,L52456,L,303.5,313,1606,34,126,0,No Failure
5278,L52457,L,303.5,312.9,1501,44,128,0,No Failure
5279,M20138,M,303.5,312.9,1618,30.4,130,0,No Failure
5280,L52459,L,303.6,313,1522,35.8,133,0,No Failure
5281,L52460,L,303.6,312.9,1480,41.4,135,0,No Failure
5282,M20141,M,303.7,313,1469,39.9,137,0,No Failure
5283,H34696,H,303.8,313.2,1381,52.4,140,0,No Failure
5284,L52463,L,303.8,313.2,1525,41.9,145,0,No Failure
5285,M20144,M,303.8,313.2,1732,29.6,147,0,No Failure
5286,L52465,L,303.8,313.1,1523,39.8,150,0,No Failure
5287,L52466,L,303.8,313.1,1422,42.4,152,0,No Failure
5288,H34701,H,303.8,313.2,1506,46.9,154,0,No Failure
5289,L52468,L,303.8,313.2,1531,39.4,159,0,No Failure
5290,M20149,M,303.9,313.3,1507,34.3,161,0,No Failure
5291,L52470,L,303.9,313.3,1526,40.7,164,0,No Failure
5292,L52471,L,303.8,313.3,1406,52.1,166,0,No Failure
5293,M20152,M,303.9,313.3,1567,35,168,0,No Failure
5294,M20153,M,303.9,313.4,1464,49.1,171,0,No Failure
5295,L52474,L,303.9,313.4,1442,48.5,174,0,No Failure
5296,L52475,L,303.8,313.2,1336,47.8,176,0,No Failure
5297,H34710,H,303.8,313.2,1379,50.2,178,0,No Failure
5298,L52477,L,303.7,313.1,1406,48.6,183,0,No Failure
5299,M20158,M,303.7,313.1,2130,18.1,185,0,No Failure
5300,L52479,L,303.7,313.1,1355,49.1,188,0,No Failure
5301,M20160,M,303.8,313.2,1710,26.5,190,0,No Failure
5302,L52481,L,303.8,313.1,1309,55.8,193,0,No Failure
5303,L52482,L,303.9,313.1,1491,37.2,195,0,No Failure
5304,L52483,L,303.9,313.2,1481,44.1,197,0,No Failure
5305,L52484,L,303.9,313.1,1425,49.3,199,0,No Failure
5306,H34719,H,303.9,313.2,1680,29.1,201,0,No Failure
5307,H34720,H,304,313.2,1612,31.7,206,0,No Failure
5308,L52487,L,304,313.3,1530,34.8,211,0,No Failure
5309,L52488,L,304,313.2,1481,42.6,213,0,No Failure
5310,M20169,M,303.9,313.2,1422,48,215,1,Tool Wear Failure
5311,L52490,L,303.8,313,1427,43,0,0,No Failure
5312,H34725,H,303.7,312.9,1460,49.8,2,0,No Failure
5313,L52492,L,303.6,312.9,1873,23.5,7,0,No Failure
5314,M20173,M,303.7,312.9,1566,32.6,9,0,No Failure
5315,L52494,L,303.6,312.8,1701,30.8,12,0,No Failure
5316,L52495,L,303.6,312.8,1710,27.2,14,0,No Failure
5317,M20176,M,303.6,312.8,1689,33.1,16,0,No Failure
5318,L52497,L,303.6,312.7,1637,32.9,19,0,No Failure
5319,L52498,L,303.5,312.6,1496,39,21,0,No Failure
5320,M20179,M,303.5,312.7,1402,47,23,0,No Failure
5321,L52500,L,303.4,312.7,1363,45.5,26,0,No Failure
5322,M20181,M,303.4,312.7,1576,49.9,28,0,No Failure
5323,M20182,M,303.4,312.7,1357,55.3,31,0,No Failure
5324,M20183,M,303.4,312.7,1399,48.4,34,0,No Failure
5325,M20184,M,303.4,312.8,1526,30.8,37,0,No Failure
5326,L52505,L,303.5,312.7,1694,27.3,40,0,No Failure
5327,M20186,M,303.5,312.7,1420,49.1,42,0,No Failure
5328,M20187,M,303.5,312.7,2116,16.7,45,0,No Failure
5329,M20188,M,303.7,312.9,1406,41.9,48,0,No Failure
5330,L52509,L,303.7,313,1456,45.5,51,0,No Failure
5331,L52510,L,303.6,312.9,1588,31.9,53,0,No Failure
5332,L52511,L,303.7,312.8,1448,44.5,55,0,No Failure
5333,H34746,H,303.6,312.7,1403,46.2,57,0,No Failure
5334,M20193,M,303.5,312.6,1405,51.6,62,0,No Failure
5335,M20194,M,303.4,312.6,2706,9.8,65,1,Power Failure
5336,M20195,M,303.3,312.4,1505,38.9,68,0,No Failure
5337,L52516,L,303.2,312.4,1663,33.7,71,0,No Failure
5338,M20197,M,303.3,312.6,1482,44.4,73,0,No Failure
5339,M20198,M,303.3,312.5,1674,32.7,76,0,No Failure
5340,M20199,M,303.4,312.7,1594,32.8,79,0,No Failure
5341,L52520,L,303.5,312.7,1393,49.3,82,0,No Failure
5342,H34755,H,303.5,312.8,1404,55.8,84,0,No Failure
5343,M20202,M,303.5,312.8,1375,45.7,89,0,No Failure
5344,L52523,L,303.5,312.8,1607,38.4,92,0,No Failure
5345,L52524,L,303.4,312.8,1360,50.8,94,0,No Failure
5346,L52525,L,303.5,312.8,1524,39.4,96,0,No Failure
5347,L52526,L,303.4,312.7,1534,35.5,98,0,No Failure
5348,L52527,L,303.3,312.7,1262,63.8,100,0,No Failure
5349,L52528,L,303.3,312.6,1623,34.6,102,0,No Failure
5350,M20209,M,303.3,312.7,1642,33.6,104,0,No Failure
5351,M20210,M,303.4,312.8,1622,35.1,107,0,No Failure
5352,M20211,M,303.5,312.9,1530,34.5,110,0,No Failure
5353,M20212,M,303.4,312.8,1590,36.3,113,0,No Failure
5354,L52533,L,303.4,312.7,1589,34,116,0,No Failure
5355,L52534,L,303.4,312.6,1462,37.5,118,0,No Failure
5356,H34769,H,303.3,312.5,1328,49.8,120,0,No Failure
5357,H34770,H,303.3,312.6,1692,29,125,0,No Failure
5358,L52537,L,303.3,312.5,1968,20.6,130,0,No Failure
5359,H34772,H,303.3,312.6,1827,24.2,132,0,No Failure
5360,M20219,M,303.3,312.6,1397,47.1,137,0,No Failure
5361,L52540,L,303.3,312.6,1463,44,140,0,No Failure
5362,L52541,L,303.3,312.7,1643,30.7,142,0,No Failure
5363,L52542,L,303.2,312.6,1281,57,144,0,No Failure
5364,L52543,L,303.2,312.5,1518,39.9,146,0,No Failure
5365,L52544,L,303.2,312.6,1601,35.3,148,0,No Failure
5366,L52545,L,303.1,312.6,1548,36.4,150,0,No Failure
5367,H34780,H,303.1,312.6,1404,40.6,152,0,No Failure
5368,M20227,M,303.1,312.5,1766,26.7,157,0,No Failure
5369,M20228,M,303.1,312.5,1667,30,160,0,No Failure
5370,H34783,H,303,312.5,1507,37.9,163,0,No Failure
5371,H34784,H,303,312.4,1627,37.1,168,0,No Failure
5372,L52551,L,302.9,312.3,1435,47.7,173,0,No Failure
5373,H34786,H,302.9,312.3,1509,46.8,175,0,No Failure
5374,M20233,M,302.9,312.3,1809,25,180,0,No Failure
5375,L52554,L,302.9,312.3,1515,40.8,183,0,No Failure
5376,L52555,L,302.9,312.3,1530,34.9,185,0,No Failure
5377,H34790,H,302.8,312.3,1336,57.5,187,0,No Failure
5378,L52557,L,302.9,312.4,2030,19.1,192,0,No Failure
5379,L52558,L,302.9,312.4,1550,36.9,194,0,No Failure
5380,L52559,L,302.9,312.4,1446,41.7,196,0,No Failure
5381,L52560,L,302.8,312.3,1494,37.5,198,0,No Failure
5382,L52561,L,302.8,312.4,1651,27,200,0,No Failure
5383,L52562,L,302.9,312.4,1698,33.8,202,0,No Failure
5384,L52563,L,302.8,312.3,1504,40.3,204,0,No Failure
5385,M20244,M,302.9,312.4,1421,46,206,0,No Failure
5386,H34799,H,302.9,312.3,1754,26.9,209,0,No Failure
5387,L52566,L,302.9,312.2,1469,42,214,0,No Failure
5388,L52567,L,302.8,312.2,1433,50,216,0,No Failure
5389,M20248,M,302.8,312.3,1432,49,218,0,No Failure
5390,L52569,L,302.8,312.3,1366,49.1,221,0,No Failure
5391,H34804,H,302.8,312.3,1483,47.2,223,0,No Failure
5392,L52571,L,302.7,312.2,1572,34.4,228,0,No Failure
5393,L52572,L,302.8,312.2,1481,40.2,230,0,No Failure
5394,L52573,L,302.8,312.3,1473,42.6,232,0,No Failure
5395,M20254,M,302.8,312.3,1262,70.5,234,1,Power Failure
5396,L52575,L,302.8,312.4,1529,36.8,237,0,No Failure
5397,L52576,L,302.8,312.4,1523,39.7,239,0,No Failure
5398,M20257,M,302.8,312.3,1416,42.7,241,0,No Failure
5399,L52578,L,302.9,312.4,1923,23.9,244,0,No Failure
5400,H34813,H,302.8,312.4,1411,53.8,246,1,Overstrain Failure
5401,L52580,L,302.7,312.4,1477,46.3,251,1,Overstrain Failure
5402,M20261,M,302.6,312.3,1454,54.8,253,1,Tool Wear Failure
5403,L52582,L,302.7,312.3,1421,48.5,0,0,No Failure
5404,L52583,L,302.7,312.3,1858,25.4,2,0,No Failure
5405,H34818,H,302.8,312.5,1422,46.1,4,0,No Failure
5406,L52585,L,302.7,312.4,1444,48.7,9,0,No Failure
5407,L52586,L,302.7,312.4,1360,47.8,11,0,No Failure
5408,L52587,L,302.7,312.4,1954,24.8,13,0,No Failure
5409,L52588,L,302.6,312.4,1628,33,15,0,No Failure
5410,L52589,L,302.7,312.4,1433,44.2,17,0,No Failure
5411,M20270,M,302.7,312.5,1417,51.5,19,0,No Failure
5412,L52591,L,302.8,312.6,1462,39.4,22,0,No Failure
5413,L52592,L,302.9,312.6,1328,59.9,24,0,No Failure
5414,H34827,H,302.7,312.5,1527,36.4,26,0,No Failure
5415,L52594,L,302.6,312.3,1534,34.3,31,0,No Failure
5416,M20275,M,302.6,312.4,1410,50.3,33,0,No Failure
5417,L52596,L,302.6,312.3,1660,30.3,36,0,No Failure
5418,L52597,L,302.6,312.4,1386,45.8,38,0,No Failure
5419,L52598,L,302.6,312.4,1398,41.6,40,0,No Failure
5420,L52599,L,302.6,312.3,1321,53.4,42,0,No Failure
5421,L52600,L,302.6,312.3,1512,34.2,44,0,No Failure
5422,M20281,M,302.6,312.3,1566,36.6,46,0,No Failure
5423,M20282,M,302.7,312.4,1422,44.5,49,0,No Failure
5424,L52603,L,302.6,312.3,1647,31.8,52,0,No Failure
5425,L52604,L,302.6,312.2,1377,45.5,54,0,No Failure
5426,L52605,L,302.5,312.2,1775,27.9,56,0,No Failure
5427,L52606,L,302.6,312.3,1554,42,58,0,No Failure
